""
,0
0,25907124
1,33591810
2,26694926
3,35225280
4,30243396
5,34982759
6,30401849
7,30475125
8,35177637
9,35069506
10,35151580
11,34909343
12,33465595
13,35088569
14,30220799
15,27016691
16,27200012
17,35028505
18,34603816
19,33425932
,0
0,33420285
1,30182726
2,30179560
3,33437777
4,27662541
5,34800470
6,34907386
7,33454900
8,34968329
9,34894631
10,34888476
11,30207998
12,30299515
13,27000981
14,34951277
15,26759820
16,34460303
17,35135334
18,27043260
19,30271236
,0
0,4135439
1,30129061
2,30160393
3,26348103
4,33411505
5,34967933
6,33446524
7,34982252
8,34958725
9,35161323
10,30306570
11,26979204
12,27194336
13,33476037
14,35087763
15,30141681
16,27046758
17,34966343
18,35151491
19,30465260
,0
0,33400537
1,30349249
2,3346423
3,27199324
4,35048298
5,26661193
6,30425219
7,30241298
8,34840499
9,26662159
10,21349338
11,30482645
12,33379643
13,30361878
14,26871906
15,34884711
16,33974174
17,27591193
18,30465104
19,30252495
0,25907124
1,33591810
2,26694926
3,35225280
4,30243396
5,34982759
6,30401849
7,30475125
8,35177637
9,35069506
10,35151580
11,34909343
12,33465595
13,35088569
14,30220799
15,27016691
16,27200012
17,35028505
18,34603816
19,33425932
0,33420285
1,30182726
2,30179560
3,33437777
4,27662541
5,34800470
6,34907386
7,33454900
8,34968329
9,34894631
10,34888476
11,30207998
12,30299515
13,27000981
14,34951277
15,26759820
16,34460303
17,35135334
18,27043260
19,30271236
0,4135439
1,30129061
2,30160393
3,26348103
4,33411505
5,34967933
6,33446524
7,34982252
8,34958725
9,35161323
10,30306570
11,26979204
12,27194336
13,33476037
14,35087763
15,30141681
16,27046758
17,34966343
18,35151491
19,30465260
0,33400537
1,30349249
2,3346423
3,27199324
4,35048298
5,26661193
6,30425219
7,30241298
8,34840499
9,26662159
10,21349338
11,30482645
12,33379643
13,30361878
14,26871906
15,34884711
16,33974174
17,27591193
18,30465104
19,30252495
