,username,vote,review,rating
0,mirai,9831,看完电影出来下楼差点走了上行的电梯🙃,3
1,白月,6401,诺兰的信条，就像李安的双子杀手，亲手拍出自己导演最不好看的电影。一个纯粹用台词堆砌起来的故事，如果消音，观众能够得到的信息量几乎为零。这点在盗梦空间当年上映之后就一直被业界批评，看来诺兰是听都不想听，还把缺点放更大了。所谓的七国取景，全是些家门口就能找到的地方；所谓阻止第三次世界大战，看起来也像普通间谍事件般小打小闹。因为保密演员无法阅读完整剧本，以致许多人表演时只是单纯念台词，自己也不明白到底什么意思。,3
2,开开,10969,你要真让我说最直观的感受：帕丁森他妈的帅疯了。最后一幕我竟然看出了一种《大话西游》结尾的感觉，《一生所爱》放这儿毫不违和,4
3,一只拖鞋,16432,"诺兰：“有关。”
记者：“请问这部电影和时间穿越有关吗？”",5
4,尔尔马,8533,"罗素兄弟：不能让别人看真剧本防剧透。诺兰：人手一本啊！大甩卖啊！看懂算我输啊！",5
5,巨米雨,5816,这片绝了，一边倒车一边加速。,4
6,木由,6386,看别人的科幻片发现逻辑不通的我：“辣鸡编剧辣鸡导演全是漏洞。”看诺兰的科幻片发现逻辑不通的我：“不行不行我脑子都烧坏了等等我得再看一遍。”,5
7,朝暮雪,6182,"对尼尔来说他已经认识男主角很久了，但对男主角来说他才刚认识尼尔。
对尼尔来说他们的友情已经走到了终点，但对男主角来说这是他们的友情的起点。
尼尔在基辅歌剧院救了男主角一次，在自由港阻止他杀了另一个自己，最后又将他拉出了基地。
不仅如此，等会儿他还要再次进入旋转门。
这一次他进入旋转门的时候，看不到窗户另一边的自己走进旋转门，因为他这次必死无疑。
但他还是进入了旋转门，帮男主角撬开了基地的门，并且为男主角挡了一枪，然后壮烈牺牲。
尼尔来自未来，这也意味着现在尼尔还是一个小孩子，很可能就是凯瑟琳的儿子。
他要先长大成人，长大后被男主角招募，进入旋转门，然后回到基辅歌剧院爆炸那天见到男主角。
他独自在逆时间中生活几十年，然而才陪伴男主角短短几十天的时间就要为他挡子弹而牺牲。
而且结局早已注定，不能改变。",5
8,影志,3478,不是一遍能看懂的一部诺兰，但也是在视觉呈现、叙事结构上再赋新意、再造巅峰的一部。从来只有单讲时间逆转和时空穿越的，却从来没有在一个画面里把正向和逆向时间同时呈现的。它如《盗梦空间》的那个折叠城市，首尾完美张合，开头即结局。最后一场大战，将为IMAX观影带来前所未有、目瞪口呆的银幕体验。两男主的相遇，勘为一道恍如隔世的弧光，泪目。看完《信条》你会产生一个这样的念头：诺兰所有的作品，将以《信条》为中心，形成过去和未来的完美交互。它是一个圆点和轴心，也是导演对自己创作理念的终极倒放和正反打。（就不用担心评论剧透了，想剧透可能都无从下手…,4
9,Evarnold,7330,。己自了估高也，众观了估高兰诺,3
10,翻滚吧！蛋堡,2506,“别去试图理解它，去感受它。”真的被诺兰逼疯了，感觉智商完全下线。和他之前任何一部电影体验都不一样，不是简单玩技术或结构，你必须完全进入到逆世界的设定里，看他把扭转时空和悖论的东西在缜密逻辑和高速爆炸的信息组合后进一步复杂化。第一遍基本只能看看视觉奇观和故事脉络，待多刷后再尝试理清逻辑吧。,4
11,Nick,5623,越看越觉得整个电影做到片名T-E-N-E-T的结构，真是太牛逼了。也懂了为啥选德比齐做女主 - 坐在后座，伸腿能打开方向盘旁的车门锁，纵观好莱坞女星也只有190的身高可以了......,5
