,username,vote,review,rating
0,阿德,7027,（含细节剧透）映后有观众问导演，为什么张译不直接去找女儿，而是从胶片里找？张译笑着看着导演，导演犹豫的看着张译，我做为主持接了句映后我告诉你，然后每一场我都当作彩蛋告诉观众，甚至在这条短评里。是的，女儿其实死了，据说是为了争着当先进。但创作者没法告诉你，只能观众从细节里去揣摩。“被迫”弱化这个设定后，整部电影的情感削弱了太多，观众甚至很难代入张译做为父亲对女儿的那种极端思念之情。电影的每一个人的行为动机结合时代背景来看，都是让人唏嘘的。这也正是这部电影的可贵之处。而做为感受到导演这份表达的观众，最好的方式，就是给予更多掌声。希望这个剧透，可以帮助你更好的理解全片的情感表达。,5
1,F,7715,一段惨痛记忆，一曲时代悲歌，却因为众所周知的删减，看起来像个闹剧。影厅里不时传来的笑声，让我一阵阵犯恶心。张译演得真是好，但缺失了女儿不幸致死的戏，感染力大打折扣，也无法解释全片的情感走向，更丧失了对那段荒唐历史的批判性。孩子因为自己工作原因变成了傻子，可为了继续做放映员还要拍保卫科干部马屁和场部关系户搞内斗，如此彻头彻尾的悲剧角色却成了笑点，真可惜了范老师的神演技。我们已经踏上第二个一百年的伟大新征程，也充满文化自信，为何提起那段历史还是欲言又止，为何拍部电影还得像裹脚的妇人一样迈不开脚？没有勇气面对历史，如何有勇气走向未来？电影不仅仅是娱乐，更应该带给人思考。不幸的是我们生活在泛娱乐化的时代，这部电影的命运就是这个时代的悲哀，也是电影人的悲哀。,4
2,Le_Petit_P,4528,若批评不自由，则赞美无意义。这么多年过去了，何必呢……,5
3,longlostpirate,3305,女主的选角差到匪夷所思的地步，每次感觉要被带入戏里，小女孩一说话，立刻被酸得牙倒了。戏外比戏里精彩得多,3
4,3号厅检票小哥,5201,"这根本就不是什么给电影的情书，整个电影没有人是爱电影的。

范伟放电影，但在编剧写法上其实是丑角。他不爱电影，他只是迷恋放电影给他带来的“虚假权力”，所以他会举bao张译，他又是受害者，所以会给张译胶片。

张译这个角色全程“追电影”，但也只是因为里面有他死去的女儿，他是被劳改的知识分子，他一定是和《英雄儿女》的氛围完全背离的，他也不认同简报里所谓的争先进。

ge命群众呢？他们是爱电影吗？不是的，他们只是贫瘠，他们负责倒映那个十年导致的精神贫瘠和集体狂热（合唱赞歌）。

所以整个电影里没有人爱电影，都是受害者。这不是什么狗屁情书，这是恐怖片。

整部电影也被删成了牛车后面的胶卷，都是窟窿。",4
5,深夜声噎,2774,大家想不想看电影！狗日的我能看一夜！悲歌不准须欢唱，垂泪。,5
6,朝暮雪,4212,"张九声打了一架，被判了八年（可能不止八年）。
小张才14岁就争着抗粮袋，因为只有争着干活才能消除张九声对他的影响。
讽刺的是，她没有获得应有的回报，反而香消玉殒。
张九声不是不去看女儿，而是已经看不到女儿了，新闻简报是他看一眼女儿的唯一方式。
这也是为什么刘闺女说小张“怎么没被压死”时，张九声会有那么大的反应。
更讽刺的是，小张死亡的剧情被删了。
少了一段小张死亡的剧情，多了一段刘闺女梳妆打扮、穿新衣服的剧情，因为……
电影之内，电影因为技术问题放不了了。
电影之外，电影没有技术问题，但还是放不了了。虽然最后还是放了，但也不是原来的样子了。
戏里戏外的巧合，让影片的讽刺力度成倍增加。",4
7,五更可乐,3721,如果这个结局是补拍的，那么可以说它彻底暴露了中宣部的智商，似乎他们在乎的只有那一句“时代变了”，而没有察觉那两帧找不回来的胶卷才是真正重要的东西。,4
8,阿柴,534,就看这个创作态度、创作能量和在创作上的生命力，再看这个对艺术、对历史、对个体生命审慎尊重的态度，我们谋就比那个做作的陈凯歌强了不止一星半点。,5
9,言之命至刘在石,299,"张译神了，已经超神了，这演技太tm牛逼了！今年不包揽各大影帝奖项是无法收场的。跑啊跑，跑啊跑，头破血流，口干舌燥，是不是所有的导演都喜欢虐张译😂
《一秒钟》是最典型也是最极致的“以小见大”。胶片作为贯穿全片的“麦高芬”，往浅一点看，看到对电影的热爱；往深一点看，看到对时代的无奈。两者相互辉映。
这个有点情景剧似的故事，其出发点是单一的，包括人物、场景、动机、发展方向都有限，非常高难度，但有赖顶级阵容，展现得很戏剧化，其嵌入于人物的复杂矛盾倒尽在不言之中，以镜头与动作代替语言推动。
稍可惜，由于现在的审核制度，假如老谋子能放开来拍，本片是可以达到《活着》高度的。
刘浩存有灵气，有潜力，但目前远未能接住范伟老师与张译的戏。
不管如何，很感谢，很感动，它让我有回到90年代中国电影巅峰时期的错觉。",5
10,安妮奶奶啊,180,女儿在粮店外意外身亡，那是他这辈子唯一的最后的机会去看亡女的一秒钟录像。伤痕文学阻碍不了大国崛起，但是院线电影式微阻碍文化意识形态输出有可能。折腾了一年差不多了，该复苏的让它复苏吧。反正它的一秒钟也是你给的。,5
11,十一伏特,311,"关于放映电影的电影，吹拂尘土想起曾经的电影院回忆。小戏大拍，所有的故事都是围绕着电影胶片而起，人物感情淳朴且真挚，所以很能够触动人心。
戏眼是《英雄儿女》，截取的几段都是极具代表的片段，父女情的主题也和故事互文，尤其片中观众随着电影合唱歌曲，片外的我也能默默在心里合唱。
戏核是22号新闻短片，也影响着结尾的至少三种可能性。如果刘闺女拿到胶片就很圆满，没拿到胶片却假装包起来挥手尚可抚慰伤痛；而多出两年后再寻却是空空，就不那么自然了，总之是增加了复杂度。",5
12,kulilin,1896,把电影还给电影,4
